 0 1 2
 0.01 -nan(ind) -nan(ind)
 0.02 -nan(ind) -nan(ind)
 0.03 -nan(ind) -nan(ind)
 0.04 -nan(ind) -nan(ind)
 0.05 -nan(ind) -nan(ind)
 0.06 -nan(ind) -nan(ind)
 0.07 -nan(ind) -nan(ind)
 0.08 -nan(ind) -nan(ind)
 0.09 -nan(ind) -nan(ind)
 0.1 -nan(ind) -nan(ind)
 0.11 -nan(ind) -nan(ind)
 0.12 -nan(ind) -nan(ind)
 0.13 -nan(ind) -nan(ind)
 0.14 -nan(ind) -nan(ind)
 0.15 -nan(ind) -nan(ind)
 0.16 -nan(ind) -nan(ind)
 0.17 -nan(ind) -nan(ind)
 0.18 -nan(ind) -nan(ind)
 0.19 -nan(ind) -nan(ind)
 0.2 -nan(ind) -nan(ind)
 0.21 -nan(ind) -nan(ind)
 0.22 -nan(ind) -nan(ind)
 0.23 -nan(ind) -nan(ind)
 0.24 -nan(ind) -nan(ind)
 0.25 -nan(ind) -nan(ind)
 0.26 -nan(ind) -nan(ind)
 0.27 -nan(ind) -nan(ind)
 0.28 -nan(ind) -nan(ind)
 0.29 -nan(ind) -nan(ind)
 0.3 -nan(ind) -nan(ind)
 0.31 -nan(ind) -nan(ind)
 0.32 -nan(ind) -nan(ind)
 0.33 -nan(ind) -nan(ind)
 0.34 -nan(ind) -nan(ind)
 0.35 -nan(ind) -nan(ind)
 0.36 -nan(ind) -nan(ind)
 0.37 -nan(ind) -nan(ind)
 0.38 -nan(ind) -nan(ind)
 0.39 -nan(ind) -nan(ind)
 0.4 -nan(ind) -nan(ind)
 0.41 -nan(ind) -nan(ind)
 0.42 -nan(ind) -nan(ind)
 0.43 -nan(ind) -nan(ind)
 0.44 -nan(ind) -nan(ind)
 0.45 -nan(ind) -nan(ind)
 0.46 -nan(ind) -nan(ind)
 0.47 -nan(ind) -nan(ind)
 0.48 -nan(ind) -nan(ind)
 0.49 -nan(ind) -nan(ind)
 0.5 -nan(ind) -nan(ind)
 0.51 -nan(ind) -nan(ind)
 0.52 -nan(ind) -nan(ind)
 0.53 -nan(ind) -nan(ind)
 0.54 -nan(ind) -nan(ind)
 0.55 -nan(ind) -nan(ind)
